ID,Substance,Task,Pipeline,Threshold,Sensitivity,Specificity,Accuracy,ROC AUC
ID10,Carrot,Crave,global_ssl,0.24,0.983 ± 0.129,0.090 ± 0.109,0.378 ± 0.148,0.935 ± 0.081
ID10,Carrot,Use,global_ssl,0.28,0.588 ± 0.391,0.268 ± 0.156,0.351 ± 0.156,0.240 ± 0.179
ID10,Nectarine,Crave,global_ssl,0.22,0.983 ± 0.129,0.179 ± 0.143,0.439 ± 0.152,0.497 ± 0.199
ID10,Nectarine,Use,global_ssl,0.33,0.902 ± 0.297,0.000 ± 0.000,0.169 ± 0.108,0.678 ± 0.144
ID10,Carrot,Crave,global_supervised,0.17,0.784 ± 0.259,0.000 ± 0.000,0.253 ± 0.134,0.276 ± 0.230
ID10,Carrot,Use,global_supervised,0.22,0.902 ± 0.297,0.000 ± 0.000,0.216 ± 0.134,0.434 ± 0.280
ID10,Nectarine,Crave,global_supervised,0.35,0.983 ± 0.129,0.000 ± 0.000,0.317 ± 0.142,0.493 ± 0.205
ID10,Nectarine,Use,global_supervised,0.14,0.902 ± 0.297,0.000 ± 0.000,0.169 ± 0.108,0.578 ± 0.159
ID10,Carrot,Crave,personal_ssl,0.45,0.608 ± 0.305,0.547 ± 0.184,0.568 ± 0.153,0.564 ± 0.226
ID10,Carrot,Use,personal_ssl,0.22,0.597 ± 0.382,0.189 ± 0.142,0.291 ± 0.147,0.408 ± 0.308
ID10,Nectarine,Crave,personal_ssl,0.33,0.797 ± 0.255,0.453 ± 0.189,0.566 ± 0.153,0.642 ± 0.215
ID10,Nectarine,Use,personal_ssl,0.47,0.902 ± 0.297,0.545 ± 0.154,0.622 ± 0.136,0.722 ± 0.170
ID11,Almond,Crave,global_ssl,0.5700000000000001,0.491 ± 0.500,0.000 ± 0.000,0.491 ± 0.500,nan ± nan
ID11,Almond,Use,global_ssl,0.35,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Carrot,Crave,global_ssl,0.35,0.491 ± 0.500,0.000 ± 0.000,0.491 ± 0.500,nan ± nan
ID11,Carrot,Use,global_ssl,0.48,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Crave,global_ssl,0.48,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Use,global_ssl,0.37,0.510 ± 0.500,0.000 ± 0.000,0.168 ± 0.191,0.500 ± 0.000
ID11,Almond,Crave,global_supervised,0.5,0.491 ± 0.500,0.000 ± 0.000,0.491 ± 0.500,nan ± nan
ID11,Almond,Use,global_supervised,0.17,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Carrot,Crave,global_supervised,0.17,0.491 ± 0.500,0.000 ± 0.000,0.491 ± 0.500,nan ± nan
ID11,Carrot,Use,global_supervised,0.22,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Crave,global_supervised,0.35,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Use,global_supervised,0.14,0.510 ± 0.500,0.000 ± 0.000,0.168 ± 0.191,0.500 ± 0.000
ID11,Almond,Crave,personal_ssl,0.5,0.000 ± 0.000,0.509 ± 0.500,0.509 ± 0.500,nan ± nan
ID11,Almond,Use,personal_ssl,0.5,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Carrot,Crave,personal_ssl,0.28,0.000 ± 0.000,0.509 ± 0.500,0.509 ± 0.500,nan ± nan
ID11,Carrot,Use,personal_ssl,0.5,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Crave,personal_ssl,0.48,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Use,personal_ssl,0.52,0.000 ± 0.000,0.999 ± 0.032,0.832 ± 0.191,0.500 ± 0.000
ID12,GHB,Use,global_ssl,0.46,0.436 ± 0.418,0.448 ± 0.424,0.505 ± 0.283,0.513 ± 0.433
ID12,Melon,Crave,global_ssl,0.27,0.794 ± 0.233,0.000 ± 0.000,0.566 ± 0.227,0.503 ± 0.270
ID12,Melon,Use,global_ssl,0.41,1.000 ± 0.000,0.128 ± 0.159,0.656 ± 0.135,0.661 ± 0.175
ID12,Nectarine,Crave,global_ssl,0.25,0.625 ± 0.384,0.303 ± 0.353,0.498 ± 0.255,0.548 ± 0.374
ID12,Nectarine,Use,global_ssl,0.45,0.583 ± 0.493,0.000 ± 0.000,0.252 ± 0.248,0.330 ± 0.371
ID12,GHB,Use,global_supervised,0.5,0.872 ± 0.334,0.000 ± 0.000,0.502 ± 0.291,0.513 ± 0.433
ID12,Melon,Crave,global_supervised,0.17,0.997 ± 0.055,0.000 ± 0.000,0.708 ± 0.212,0.398 ± 0.279
ID12,Melon,Use,global_supervised,0.24,1.000 ± 0.000,0.000 ± 0.000,0.607 ± 0.137,0.515 ± 0.190
ID12,Nectarine,Crave,global_supervised,0.35,0.939 ± 0.239,0.303 ± 0.353,0.666 ± 0.234,1.000 ± 0.000
ID12,Nectarine,Use,global_supervised,0.14,0.583 ± 0.493,0.000 ± 0.000,0.252 ± 0.248,1.000 ± 0.000
ID12,GHB,Use,personal_ssl,0.32,0.872 ± 0.334,0.871 ± 0.335,1.000 ± 0.000,1.000 ± 0.000
ID12,Melon,Crave,personal_ssl,0.48,0.409 ± 0.280,0.393 ± 0.420,0.432 ± 0.229,0.501 ± 0.273
ID12,Melon,Use,personal_ssl,0.34,0.748 ± 0.155,0.500 ± 0.236,0.652 ± 0.131,0.688 ± 0.182
ID12,Nectarine,Crave,personal_ssl,0.42,0.629 ± 0.382,0.303 ± 0.353,0.498 ± 0.251,0.666 ± 0.338
ID12,Nectarine,Use,personal_ssl,0.47,0.583 ± 0.493,0.651 ± 0.343,0.750 ± 0.244,1.000 ± 0.000
ID13,Almond,Use,global_ssl,0.49,0.958 ± 0.201,0.112 ± 0.130,0.391 ± 0.163,0.774 ± 0.195
ID13,Carrot,Use,global_ssl,0.16,0.000 ± 0.000,0.799 ± 0.227,0.500 ± 0.203,0.388 ± 0.275
ID13,Nectarine,Use,global_ssl,0.41,1.000 ± 0.000,0.000 ± 0.000,0.522 ± 0.113,0.816 ± 0.099
ID13,Almond,Use,global_supervised,0.17,0.707 ± 0.322,0.560 ± 0.211,0.618 ± 0.163,0.780 ± 0.171
ID13,Carrot,Use,global_supervised,0.22,0.948 ± 0.222,0.201 ± 0.217,0.503 ± 0.199,0.604 ± 0.266
ID13,Nectarine,Use,global_supervised,0.14,1.000 ± 0.000,0.356 ± 0.161,0.692 ± 0.104,0.861 ± 0.085
ID13,Almond,Use,personal_ssl,0.43,0.958 ± 0.201,0.666 ± 0.194,0.772 ± 0.137,0.944 ± 0.090
ID13,Carrot,Use,personal_ssl,0.41,0.000 ± 0.000,0.997 ± 0.055,0.624 ± 0.192,0.459 ± 0.274
ID13,Nectarine,Use,personal_ssl,0.43,0.799 ± 0.130,0.431 ± 0.165,0.624 ± 0.107,0.720 ± 0.124
ID14,Carrot,Crave,global_ssl,0.25,0.664 ± 0.252,0.503 ± 0.343,0.608 ± 0.185,0.473 ± 0.286
ID14,Carrot,Use,global_ssl,0.38,0.813 ± 0.117,0.417 ± 0.181,0.646 ± 0.109,0.629 ± 0.142
ID14,Carrot,Crave,global_supervised,0.17,0.506 ± 0.255,0.000 ± 0.000,0.309 ± 0.170,0.347 ± 0.233
ID14,Carrot,Use,global_supervised,0.22,0.933 ± 0.078,0.166 ± 0.138,0.610 ± 0.111,0.761 ± 0.118
ID14,Carrot,Crave,personal_ssl,0.39,0.337 ± 0.246,0.252 ± 0.300,0.307 ± 0.181,0.342 ± 0.261
ID14,Carrot,Use,personal_ssl,0.52,0.560 ± 0.151,0.590 ± 0.179,0.573 ± 0.108,0.674 ± 0.132
ID15,Carrot,Crave,global_ssl,0.43,0.440 ± 0.210,0.569 ± 0.244,0.500 ± 0.150,0.476 ± 0.209
ID15,Carrot,Use,global_ssl,0.5700000000000001,0.926 ± 0.087,0.374 ± 0.169,0.662 ± 0.112,0.626 ± 0.140
ID15,Carrot,Crave,global_supervised,0.17,0.667 ± 0.198,0.288 ± 0.232,0.503 ± 0.152,0.601 ± 0.199
ID15,Carrot,Use,global_supervised,0.22,0.926 ± 0.087,0.149 ± 0.122,0.555 ± 0.116,0.628 ± 0.136
ID15,Carrot,Crave,personal_ssl,0.44,1.000 ± 0.000,0.574 ± 0.245,0.817 ± 0.119,0.622 ± 0.223
ID15,Carrot,Use,personal_ssl,0.42,0.426 ± 0.156,0.686 ± 0.159,0.551 ± 0.113,0.705 ± 0.134
ID18,Carrot,Crave,global_ssl,0.5,0.862 ± 0.164,0.261 ± 0.296,0.649 ± 0.172,0.795 ± 0.188
ID18,Carrot,Use,global_ssl,0.5700000000000001,0.879 ± 0.146,0.000 ± 0.000,0.549 ± 0.164,0.607 ± 0.211
ID18,Carrot,Crave,global_supervised,0.17,0.426 ± 0.230,0.724 ± 0.302,0.536 ± 0.174,0.644 ± 0.226
ID18,Carrot,Use,global_supervised,0.22,0.880 ± 0.147,0.184 ± 0.232,0.622 ± 0.162,0.743 ± 0.202
ID18,Carrot,Crave,personal_ssl,0.41,1.000 ± 0.000,0.249 ± 0.280,0.739 ± 0.148,0.493 ± 0.272
ID18,Carrot,Use,personal_ssl,0.49,0.362 ± 0.208,0.602 ± 0.307,0.454 ± 0.162,0.452 ± 0.229
ID19,Almond,Crave,global_ssl,0.12,0.000 ± 0.000,0.560 ± 0.184,0.472 ± 0.164,0.563 ± 0.189
ID19,Almond,Use,global_ssl,0.16,0.707 ± 0.322,0.000 ± 0.000,0.233 ± 0.145,0.241 ± 0.221
ID19,Melon,Crave,global_ssl,0.28,0.522 ± 0.500,0.092 ± 0.105,0.173 ± 0.135,0.290 ± 0.171
ID19,Melon,Use,global_ssl,0.37,0.670 ± 0.258,0.582 ± 0.238,0.625 ± 0.161,0.643 ± 0.214
ID19,Almond,Crave,global_supervised,0.5,0.000 ± 0.000,0.739 ± 0.165,0.624 ± 0.163,0.597 ± 0.192
ID19,Almond,Use,global_supervised,0.17,0.733 ± 0.316,0.327 ± 0.200,0.461 ± 0.171,0.565 ± 0.220
ID19,Melon,Crave,global_supervised,0.17,0.522 ± 0.500,0.104 ± 0.114,0.184 ± 0.141,1.000 ± 0.000
ID19,Melon,Use,global_supervised,0.24,0.997 ± 0.055,0.000 ± 0.000,0.466 ± 0.170,0.476 ± 0.234
ID19,Almond,Crave,personal_ssl,0.37,0.000 ± 0.000,0.358 ± 0.179,0.302 ± 0.155,0.000 ± 0.000
ID19,Almond,Use,personal_ssl,0.13,0.246 ± 0.291,0.344 ± 0.196,0.318 ± 0.156,0.302 ± 0.219
ID19,Melon,Crave,personal_ssl,0.38,0.000 ± 0.000,0.706 ± 0.168,0.643 ± 0.171,0.498 ± 0.201
ID19,Melon,Use,personal_ssl,0.36,0.333 ± 0.251,0.281 ± 0.223,0.307 ± 0.153,0.353 ± 0.218
ID20,Melon,Crave,global_ssl,0.34,0.988 ± 0.109,0.000 ± 0.000,0.503 ± 0.199,0.787 ± 0.205
ID20,Melon,Use,global_ssl,0.39,0.546 ± 0.201,0.000 ± 0.000,0.449 ± 0.177,0.496 ± 0.206
ID20,Nectarine,Crave,global_ssl,0.26,0.970 ± 0.171,0.866 ± 0.341,1.000 ± 0.000,1.000 ± 0.000
ID20,Nectarine,Use,global_ssl,0.35,0.669 ± 0.192,0.242 ± 0.290,0.542 ± 0.164,0.501 ± 0.208
ID20,Melon,Crave,global_supervised,0.17,0.741 ± 0.289,0.000 ± 0.000,0.380 ± 0.203,0.536 ± 0.271
ID20,Melon,Use,global_supervised,0.24,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.165 ± 0.183
ID20,Nectarine,Crave,global_supervised,0.35,0.970 ± 0.171,0.866 ± 0.341,1.000 ± 0.000,1.000 ± 0.000
ID20,Nectarine,Use,global_supervised,0.14,0.788 ± 0.167,0.000 ± 0.000,0.549 ± 0.164,0.281 ± 0.184
