ID,Substance,Task,Pipeline,Threshold,Sensitivity,Specificity,Accuracy,ROC AUC
ID10,Carrot,Crave,global_ssl,0.1,0.797 ± 0.255,0.724 ± 0.169,0.751 ± 0.135,0.866 ± 0.136
ID10,Carrot,Use,global_ssl,0.26,0.588 ± 0.391,0.092 ± 0.105,0.214 ± 0.140,0.125 ± 0.122
ID10,Nectarine,Crave,global_ssl,0.37,0.983 ± 0.129,0.179 ± 0.143,0.439 ± 0.152,0.410 ± 0.186
ID10,Nectarine,Use,global_ssl,0.32,0.902 ± 0.297,0.335 ± 0.143,0.448 ± 0.138,0.910 ± 0.109
ID10,Carrot,Crave,global_supervised,0.16,0.784 ± 0.259,0.000 ± 0.000,0.253 ± 0.134,0.276 ± 0.230
ID10,Carrot,Use,global_supervised,0.23,0.902 ± 0.297,0.092 ± 0.105,0.287 ± 0.150,0.434 ± 0.280
ID10,Nectarine,Crave,global_supervised,0.28,0.599 ± 0.307,0.455 ± 0.183,0.503 ± 0.155,0.553 ± 0.269
ID10,Nectarine,Use,global_supervised,0.17,0.902 ± 0.297,0.000 ± 0.000,0.169 ± 0.108,0.623 ± 0.154
ID10,Carrot,Crave,personal_ssl,0.43,0.797 ± 0.255,0.547 ± 0.184,0.630 ± 0.148,0.559 ± 0.189
ID10,Carrot,Use,personal_ssl,0.31,0.597 ± 0.382,0.546 ± 0.175,0.571 ± 0.152,0.447 ± 0.235
ID10,Nectarine,Crave,personal_ssl,0.42,0.388 ± 0.287,0.908 ± 0.107,0.746 ± 0.127,0.660 ± 0.216
ID10,Nectarine,Use,personal_ssl,0.4,0.618 ± 0.383,0.609 ± 0.151,0.621 ± 0.136,0.765 ± 0.188
ID11,Almond,Use,global_ssl,0.26,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Carrot,Crave,global_ssl,0.11,0.491 ± 0.500,0.000 ± 0.000,0.491 ± 0.500,nan ± nan
ID11,Carrot,Use,global_ssl,0.32,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Crave,global_ssl,0.39,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Use,global_ssl,0.32,0.510 ± 0.500,0.000 ± 0.000,0.168 ± 0.191,0.500 ± 0.000
ID11,Almond,Use,global_supervised,0.18,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Carrot,Crave,global_supervised,0.16,0.491 ± 0.500,0.000 ± 0.000,0.491 ± 0.500,nan ± nan
ID11,Carrot,Use,global_supervised,0.23,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Crave,global_supervised,0.28,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Use,global_supervised,0.17,0.510 ± 0.500,0.000 ± 0.000,0.168 ± 0.191,0.500 ± 0.000
ID11,Almond,Use,personal_ssl,0.5,0.553 ± 0.497,0.000 ± 0.000,0.337 ± 0.339,0.500 ± 0.000
ID11,Carrot,Crave,personal_ssl,0.3,0.000 ± 0.000,0.509 ± 0.500,0.509 ± 0.500,nan ± nan
ID11,Carrot,Use,personal_ssl,0.5,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Crave,personal_ssl,0.5,0.000 ± 0.000,0.880 ± 0.325,0.663 ± 0.339,0.500 ± 0.000
ID11,Nectarine,Use,personal_ssl,0.54,0.000 ± 0.000,0.999 ± 0.032,0.832 ± 0.191,0.500 ± 0.000
ID12,GHB,Use,global_ssl,0.43,0.872 ± 0.334,0.871 ± 0.335,1.000 ± 0.000,1.000 ± 0.000
ID12,Melon,Crave,global_ssl,0.43,0.586 ± 0.282,0.000 ± 0.000,0.415 ± 0.224,0.195 ± 0.216
ID12,Melon,Use,global_ssl,0.4,0.916 ± 0.102,0.374 ± 0.223,0.703 ± 0.127,0.720 ± 0.174
ID12,Nectarine,Crave,global_ssl,0.41,0.939 ± 0.239,0.303 ± 0.353,0.666 ± 0.234,0.769 ± 0.303
ID12,Nectarine,Use,global_ssl,0.38,0.583 ± 0.493,0.000 ± 0.000,0.252 ± 0.248,0.000 ± 0.000
ID12,GHB,Use,global_supervised,0.5,0.872 ± 0.334,0.000 ± 0.000,0.502 ± 0.291,0.513 ± 0.433
ID12,Melon,Crave,global_supervised,0.11,0.997 ± 0.055,0.000 ± 0.000,0.708 ± 0.212,0.397 ± 0.353
